                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                  1.472,                  1.168,                0.90908,                0.38827,                0.35656,                0.30999,                0.13379,                 1.8845,                 1.2711,                0.95941,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.4593,                  1.153,                0.90349,                0.37404,                0.34217,                0.30179,                0.13279,                 1.8935,                  1.278,                0.95511,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.4627,                 1.1637,                0.90262,                0.36656,                0.37107,                0.30153,                0.13253,                 1.8931,                 1.2661,                0.96045,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.4616,                 1.1542,                0.90344,                0.41639,                0.36213,                0.32117,                 0.1403,                 1.8637,                 1.2449,                0.95692,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.4491,                 1.1514,                0.90762,                 0.3597,                0.37526,                0.31252,                 0.1375,                  1.859,                 1.2652,                0.95286,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.4429,                 1.1667,                0.89871,                0.36404,                0.36276,                0.30114,                0.13375,                 1.8815,                 1.2585,                0.95867,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.4408,                 1.1234,                0.89982,                0.38275,                0.37716,                  0.317,                0.13945,                 1.8583,                 1.2465,                0.94908,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.4524,                 1.1475,                0.90488,                0.36146,                0.37595,                0.30095,                0.12856,                 1.9008,                  1.285,                0.96069,               0.000557,               0.000557,               0.000557
                     58,                 1.4309,                 1.1262,                0.90131,                0.36677,                0.36546,                0.30965,                0.13506,                 1.8795,                 1.2719,                0.95429,             0.00054463,             0.00054463,             0.00054463
                     59,                  1.453,                 1.1339,                0.90129,                0.39825,                0.38339,                0.31645,                0.13969,                 1.8655,                 1.2322,                0.95384,             0.00053225,             0.00053225,             0.00053225
                     60,                  1.436,                 1.1157,                 0.9022,                0.38153,                0.36276,                0.30484,                0.13602,                 1.8863,                 1.2539,                0.95694,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.4199,                 1.1049,                0.89806,                0.38183,                0.37085,                0.31748,                0.13893,                 1.8853,                 1.2519,                0.95789,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.4065,                 1.0926,                0.89455,                0.34832,                0.36021,                0.30313,                0.13589,                 1.8572,                 1.2644,                0.94821,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.4149,                 1.0978,                0.90152,                0.37788,                0.37053,                0.31468,                0.13807,                  1.862,                 1.2368,                0.95044,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.4085,                 1.0991,                0.89607,                0.35968,                 0.3632,                0.30196,                0.13467,                 1.8782,                 1.2499,                0.94846,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.4037,                 1.0852,                0.90127,                0.36096,                0.37459,                0.30762,                0.13656,                 1.8823,                 1.2402,                 0.9562,               0.000458,               0.000458,               0.000458
                     66,                 1.4106,                 1.1063,                0.89958,                0.36617,                0.38055,                0.30833,                0.13703,                 1.8723,                 1.2465,                0.95095,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.3739,                 1.0624,                0.89701,                0.38505,                0.35938,                 0.3087,                0.13486,                 1.8885,                 1.2423,                0.95484,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.4016,                 1.0924,                0.89974,                 0.3605,                0.36999,                0.31305,                0.13801,                 1.8617,                 1.2302,                0.95037,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.4014,                 1.0819,                0.89378,                0.36195,                 0.3745,                0.30219,                0.13367,                 1.8595,                 1.2736,                0.94617,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.3911,                 1.0569,                  0.889,                0.35311,                0.36598,                0.30628,                0.13539,                 1.8718,                 1.2565,                0.95114,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.3896,                 1.0646,                 0.8913,                0.36716,                0.37806,                0.30607,                0.13455,                 1.9016,                 1.2846,                0.96046,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.3857,                 1.0504,                0.89019,                0.33791,                0.36843,                0.30395,                 0.1355,                 1.8599,                 1.2441,                0.94951,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.3774,                 1.0539,                0.88506,                0.38104,                0.37442,                  0.311,                0.13445,                 1.8785,                 1.2646,                0.95372,               0.000359,               0.000359,               0.000359
                     74,                 1.3735,                 1.0533,                0.88805,                0.34306,                0.38506,                0.30418,                0.13395,                 1.8749,                 1.2459,                0.95448,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.3977,                 1.0699,                0.89155,                0.37465,                0.36618,                0.30564,                0.13571,                 1.8634,                  1.262,                0.95163,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.3583,                 1.0246,                0.88847,                0.37339,                0.35348,                0.29624,                0.13166,                 1.8863,                  1.271,                0.95246,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.3526,                 1.0366,                0.88997,                0.36696,                0.36928,                0.30857,                0.13499,                 1.8631,                 1.2524,                0.95204,              0.0003095,              0.0003095,              0.0003095
                     78,                 1.3637,                 1.0257,                0.89009,                0.37566,                0.36807,                0.30905,                0.13794,                  1.867,                 1.2373,                0.95326,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.3552,                 1.0348,                0.87892,                 0.3533,                0.37107,                0.29904,                0.13437,                 1.8889,                 1.2618,                0.95377,             0.00028475,             0.00028475,             0.00028475
                     80,                  1.373,                  1.025,                  0.891,                0.38424,                0.36929,                0.30458,                0.13502,                 1.8624,                 1.2509,                 0.9472,             0.00027237,             0.00027237,             0.00027237
                     81,                 1.3516,                 1.0189,                0.88543,                0.34334,                0.36834,                0.30002,                0.13517,                 1.8468,                 1.2417,                0.94477,                0.00026,                0.00026,                0.00026
                     82,                 1.3576,                 1.0201,                0.88694,                0.35345,                0.36155,                0.29323,                0.13164,                 1.8595,                 1.2478,                0.94793,             0.00024762,             0.00024762,             0.00024762
                     83,                 1.3355,                0.99346,                0.87887,                 0.3499,                0.36855,                0.30464,                0.13654,                 1.8501,                 1.2459,                0.94859,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.3475,                 1.0127,                0.88311,                0.35093,                0.38092,                0.30352,                0.13598,                  1.869,                 1.2516,                  0.951,             0.00022288,             0.00022288,             0.00022288
                     85,                  1.339,                0.97683,                0.88173,                0.35319,                0.36566,                 0.2992,                0.13318,                 1.8504,                 1.2717,                0.94948,              0.0002105,              0.0002105,              0.0002105
                     86,                 1.3338,                 0.9933,                0.88304,                0.35635,                0.37193,                0.30174,                0.13338,                 1.8608,                 1.2713,                 0.9533,             0.00019813,             0.00019813,             0.00019813
                     87,                 1.3369,                0.99632,                0.88291,                0.35643,                0.37795,                0.30395,                0.13528,                 1.8695,                 1.2607,                 0.9504,             0.00018575,             0.00018575,             0.00018575
                     88,                 1.3406,                0.99231,                0.88228,                0.36306,                0.37385,                0.31169,                0.13561,                 1.8801,                 1.2491,                0.95569,             0.00017338,             0.00017338,             0.00017338
                     89,                  1.338,                0.97822,                0.88296,                0.35054,                0.36979,                0.30675,                0.13467,                 1.8653,                 1.2535,                 0.9545,               0.000161,               0.000161,               0.000161
                     90,                 1.3311,                0.99498,                0.88465,                0.35317,                0.37942,                0.30678,                0.13643,                 1.8684,                   1.25,                0.95159,             0.00014862,             0.00014862,             0.00014862
                     91,                 1.3024,                0.97392,                 0.8824,                0.35315,                0.36463,                0.30375,                 0.1334,                 1.8962,                  1.289,                0.96054,             0.00013625,             0.00013625,             0.00013625
                     92,                 1.2841,                0.96413,                0.87915,                0.34832,                 0.3687,                0.30689,                0.13495,                 1.8892,                 1.2803,                0.95863,             0.00012387,             0.00012387,             0.00012387
                     93,                 1.2955,                0.95291,                0.88136,                0.36248,                0.37722,                0.30869,                0.13653,                 1.8738,                 1.2825,                0.95372,              0.0001115,              0.0001115,              0.0001115
                     94,                  1.285,                0.94668,                0.87863,                0.36776,                0.35952,                0.30124,                0.13364,                 1.8739,                 1.3034,                0.95626,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                 1.2906,                0.94446,                  0.878,                0.37941,                0.37148,                0.30617,                0.13484,                 1.8931,                 1.2971,                0.95702,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 1.2723,                0.93867,                0.87947,                0.36284,                 0.3664,                0.30453,                0.13434,                 1.8783,                 1.2891,                0.95554,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 1.2712,                0.92809,                0.87697,                 0.3575,                0.36301,                0.30479,                 0.1346,                 1.8827,                 1.2697,                0.95539,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 1.2666,                0.92319,                 0.8735,                0.36501,                0.36811,                0.30348,                0.13567,                   1.88,                 1.2657,                0.95268,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 1.2736,                0.92252,                0.87609,                0.36525,                0.36598,                 0.3061,                0.13526,                 1.8799,                 1.2782,                0.95201,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                 1.2629,                0.92176,                0.87514,                0.35231,                 0.3736,                0.30442,                0.13445,                 1.8831,                 1.2821,                0.95426,             2.4875e-05,             2.4875e-05,             2.4875e-05
